Text	Class
"🚙També retencions:
➡️Ronda litoral de Zona Franca a Can Tunis -&gt;Besòs
 ⚠️🚗Passeig de Sant Gervasi on hi ha hagut un accident 
➡️Ronda General Mitre a Lesseps  i a l’avinguda del Tibidabo "	1
"🚙Ara CUES:
AP-7 a Barberà -&gt;sud
B-30 a Barberà -&gt;sud i a Cerdanyola -&gt;nord 
C-58 a Sant Quirze -&gt;sud 
De B-24 Cervelló a N-340 Vallirana sentit Tarragona i a Vallirana -&gt;BCN 
C-352 a Granollers 
Ronda oest de Sabadell "	1
"🚙Continuen les CUES:
Ronda litoral de Zona Franca a Can Tunis -&gt;Besòs 
Diagonal del parc de Pedralbes a plaça Reina Maria Cristina "	1
"🚙Encara ATURATS:
De B-23 Molins de Rei a l’AP-7 al Papiol sentit Girona  
🚧A-2 de Sant Feliu de LL a Sant Vicenç dels Horts sentit Lleida per les obres
🚧C-25 a Riudellots de la Selva per obres 
C-58 a Sant Quirze -&gt;sud 
De B-24 Cervelló a N-340 Vallirana  "	1
🚆TALGO (Llorca- Sants) acumula un retard de tres quarts d'hora.  https://t.co/MzEtc8wUaS	1
⚠️🚗Accident a la N-340 , a l’entrada de Vallirana sentit Tarragona . Hi ha cua compacta en tots dos sentits . 	1
🚙Retencions a la Ronda litoral de Zona Franca a Can Tunis -&gt;Besòs 	1
"🚙CUES:
🚧A-2 a Sant Vicenç dels Horts sentit Lleida per les obres
🚧C-25 a Riudellots de la Selva per obres 
➡️De B-24 Cervelló a N-340 Vallirana 
➡️B-30 a Barberà -&gt;sud i a Cerdanyola sentit nord 
➡️1km a l’AP-7 a Barberà sentit sud  "	1
🚧A-2: retencions #SantVicençDelsHorts - #Pallejà -&gt; Lleida, a causa d'obres que tallen 1 carril 	1
⚠️🚛1 carril tallat a l'AP-7 a #Bàscara PK 39 -&gt; sud, a causa d'un camió avariat. Precaució! 	1
⚠️🚆R3 @rodalies #LaTorDeQuerol 10:48 - #LHospitalet 14:02 acaba recorregut a #Ripoll per una incidència tècnica 	1
⚠️AP-7: camió avariat a #Cerdanyola -&gt; sud . Ocupa el voral dret.  7 km de cua des de #SantaPerpètua, precaució! 	1
⚠️Vehicle avariat a l'AP-7 a #ParetsDelVallès PK 137 -&gt; Girona. Retencions des de #Mollet, precaució!  https://t.co/dkoti6Mf5f	1
✔️Tots els carrils oberts a l'A-2 a #SantJoanDespí -&gt; BCN, on hi havia un accident. Encara cua Pallejà - Sant Vicenç dels Horts. Obres a la zona, precaució! 	1
⚠️Accident a l'A-2 a #SantJoanDespí PK 607 -&gt; BCN. 1 carril tallat. Retencions des de #Pallejà, precaució! 	1
🚧Aturats a l'autopista C-16 a #Terrassa Centre -&gt; Manresa, a causa d'obres. Precaució! 	1
✔️C-17 restablerta a #ParetsDelVallès -&gt; sud. Encara retencions 	1
⚠️🚛Encara 1 sol carril obert a l'AP-7 a #Borrassà PK 29 -&gt; sud. Retiren un camió avariat. Precaució! 	1
⚠️C-17: retencions #LAmetllaçdeolVallès - #Parets -&gt; sud, a causa d'un accident. Precaució! 	1
⚠️Accident a l'AP-7 a #Borrassà PK 29 -&gt; sud, 1 carril obert. Retencions 	1
"⚠ 🚧 Retencions:

➡ C-58. Sant Quirze del Vallès i Montcada i Reixac. En aquest punt, hi ha un carril tallat per una avaria

"	1
"⚠ 🚗 Retencions:

➡ C-55. Entre Manresa i Castellbell i el Vilar
➡ C-32. Sant Boi de Llobregat, sentit nord
➡ C-33. Montcada i Reixac, direcció Barcelona.
➡ B-23. A Sant Joan Despí, direcció Barcelona

"	1
"⚠ 🚗 Retencions:

➡C-17. La Garriga, sentit sud
➡AP-7. Vilafranca del Penedès, sentit nord, i La Roca del Vallès, sentit sud
➡A-2. Tàrrega, el Bruc, direcció Barcelona, i Sils, sentit sud
➡C-14. Ponts
➡C-16. Cercs

"	1
⚠️✔️Incidència resolta!  https://t.co/DkdkqZTYxo	1
"⚠ 🚗 Retencions:

➡ C-17. La Garriga.
➡ AP-7. Santa Margarida i els Monjos, La Jonquera.
➡ A-2. Tàrrega; entre Jorba i Igualada; Collbató i Pallejà
➡ C-14. Ponts.
➡ C-16. Entre Guardiola de Berguedà i Berga
➡ C-55. Castellgalí i Manresa

"	1
"⚠ 🚗 Retencions als accessos a Barcelona:

➡ C-58. Sant Quirze i Montcada i Reixac.
➡ C-32. Sant Boi i Gavà.
➡ C-33. Montcada i Reixac.
➡ Pota nord. Entre Santa Coloma i Nus de la Trinitat.
➡ B-23. Esplugues de Llobregat.

"	1
"⚠ 🚧 ATENCIÓ!

➡1 carril tallat C-32 a Gavà, sentit nord, per un accident.
➡1 carril tallat C-58 a Montcada i Reixac per una avaria.

"	1
"⚠ 🚗 Retencions:

➡ C-17. 3 km a La Garriga, en sentit sud

"	1
⚠ 🚧 Pas alternatiu a l'N-260 a Ribes de Freser per un accident 	1
"⚠ 🚗 Retencions a aquesta hora:

➡ C-17 a Ripoll, sentit sud.
➡ C-55 a Castellgalí i Manresa, sentit sud.
➡ B-20 a Sant Boi de Llobregat, sentit nord.
➡ S'intensifica trànsit a la N-340 a El Vendrell i Vallirana, sentit nord.

"	1
"⚠ 🚗 Retencions a aquesta hora:

➡ AP-7. 5 km a Santa Margarida i els Monjos i a La Jonquera, en sentit nord. 
➡ A-2. 2 km a Cervera i 4 a Collbató, sentit nord.
➡ C-14 Organyà. 
➡ C-16. Entre Bagà i Cercs.

"	1
"⚠ 🚛 ATENCIÓ! Restriccions al trànsit de vehicles pesants fins a les 22h:

➡ AP-7. Entre Maçanet de la Selva i Vandellós 
➡ C-32. Entre Montgat i Palafolls, i entre Barcelona i El Vendrell

"	1
"⚠ 🚗 Més retencions:

➡ AP-7. La Jonquera, sentit nord.
➡ A-2. 2 km a Cervera, en sentit Barcelona.

"	1
⚠ 🚗 Accident a la GI-552 a Sant Feliu de Buixalleu. Es dona pas alternatiu en aquest tram de la via 	1
⚠ 🚗 IMPORTANT! El carril Bus-VAO de la C-58 està obert a tots els vehicles, excepte camions 	1
"⚠ 🚗 Retencions:

➡ C-14, Organyà, sentit sud.
➡ C-16. Riu de Cerdanya i des de Bagà fins a Cercs, en sentit sud.
➡ C-17. Ripoll, sentit sud.

"	1
⚠️🚗 CONGESTIONS a la #C17, a Centelles, en direcció Barcelona 	1
⚠️🚗RETENCIONS a la #C16, a l'altura de Cercs, sentit sud, cap a Barcelona 	1
⚠️🚗CIRCULACIÓ CONGESTIONADA a la #C16, a l'altura d'Urús, sentit sud cap al túnel del cadí 	1
⚠️🚗 CIRCULACIÓ AMB RETENCIONS a la #C35, Santa Maria de Palautordera, a causa d'un accident i en ambdós sentits de la marxa. S'ha obert un pas alternatiu 	1
⚠️⚠️⚠️ ACTE ESPORTIU provoquen CONGESTIONS a la #C16 , a Artesa de Segre, en els dos sentits de la marxa 	1
⚠️🚗 RETENCIONS a la #C55, la carretera que duu cap a Montserrat, en els dos sentits de la marxa 	1
🏃‍♀️🏃‍♂️ @TMBinfo recorda que, aquest diumenge, per la 39a Cursa Popular de Sant Martí, algunes línies de #busbcn es veuran afectades.  https://t.co/ur8SOQ9sI6	1
🏃‍♀️🏃‍♂️ @TMBinfo recorda que, aquest diumenge, es fa la Mitja Marató del Prat de Llobregat afectant les línies 21 i 65 de #busbcn.  https://t.co/skwvVqA5iP	1
🚈🚧@TMBinfo recorda que des del 5 de novembre i durant 6 mesos aproximadament, el #funicularmontjuïc estarà tancat per revisió tècnica.  https://t.co/Ae4kzejFbu	1
"⚠️🚗Més retencions:

➡️B-24, a l'altura de Vallirana, en el dos sentits de la marxa.
 "	1
"⚠️🚗Retencions:

➡️N-260. Sant Joan de les Abadesses, en els dos sentits de la marxa.
➡️AP-7. Roca del Vallès, direcció Girona.
➡️C-17. Parets del Vallès, direcció Vic.
➡️N-150. Carretera interurbana de Sabadell.
➡️C-58. Barberà del Vallès, direcció Barcelona.

"	1
⚠️🚄ATENCIÓ! Retard en un tren Euromed que fa el trajecte entre Alacant i Barcelona  https://t.co/0uLpSKFQrN	1
"⚠️🚗Més retencions:

➡️C-55 a Castellgalí, en direcció Manresa.
➡️C-58 a Terrassa, en direcció Manresa.

"	1
"⚠️🚗Retencions, a l'interior de Barcelona:

➡️Ronda Litoral, des de Prim fins al Nus de la Trinitat.

"	1
"⚠️🚗Retencions:

➡️AP-7. Barberà del Vallès, sentit sud.
➡️C-58. Sant Quirze del Vallès, en sentit Barcelona.
➡️A-2. Entre Sant Joan Despí i Cornellà de Llobregat, en sentit Barcelona.

"	1
"⚠️🚗Retencions:

➡️AP-7. Barberà del Vallès, sentit sud. 
➡️C-33. La Llagosta, en els dos sentits.
➡️C-58. Sant Quirze i Barberà, sentit Barcelona.
➡️Ronda Litoral, en els dos sentits a l'altura de Besòs.
➡️Ronda de Dalt, a la Meridiana, en sentit Llobregat.

"	1
⚠️🚗 Tots els carrils oberts a la C-33 a Montcada i Reixac. Incidència solucionada 	1
"⚠️🚗Retencions a aquesta hora:

➡️C-33. La Llagosta, sentit nord.
➡️B-24. Cervelló (enllaç amb N-340). 

"	1
⚠️🚄ATENCIÓ! Més afectacions col·laterals en trens de la línia R11 de Rodalies per una incidència tècnica  https://t.co/3z6jCyBLco	1
⚠️🚗 1 carril tallat a la C-33 a Montcada i Reixac, en sentit Granollers 	1
⚠️🚄ATENCIÓ! Incidències a la línia R11 de Rodalies  https://t.co/viHeNCICZw	1
"🚗Cues a aquesta hora: 
➡️N-145 La Seu-duana -&gt; Andorra 
➡️N-152 a Puigcerdà &lt;-&gt;
➡️B-24 a Cervelló -&gt; sud
➡️C-58 a Sant Quirze -&gt; BCN 
➡️B-20 Túnel Santa Coloma – Nus Trinitat -&gt; BCN 
➡️C-17 a Parets del Vallès -&gt; BCN
➡️AP-7 Montmeló – Parets -&gt; sud 
"	1
🚗Cues a l'N-152 per accedir a #Puigcerdà en tots 2 sentits 	1
"🔴En directe roda de premsa del consell de ministres 

https://t.co/WkmrXlcf5V"	1
"🚗🧟‍♀️Cues als accessos al parc Port Aventura, a #VilaSeca: 
➡️Autovia A-7 a Vila-Seca -&gt; nord 
➡️T-319 per accedir al parc -&gt; nord 
"	1
⚠️Accident a la C-66 a #CornellàDelTerri PK 42. Se circula per un vial paral·lel, i hi ha retencions puntuals. Precaució!  https://t.co/oe2CKaUmn6	1
🚗C-58: retencions a #SantQuirzeDelVallès -&gt; BCN, a causa d'obres 	1
⚠️Aturats a la C-17 a #MolletDelVallès PK 11 -&gt; BCN, a causa d'un accident. Precaució! 	1
⚠️Accident a l'N-141e a #Bescanó (Gironès). S'hi fa pas alternatiu, precaució!  https://t.co/C8A4tg6r1u	1
❄️🌨️A causa de la neu, només tallada la BV-4024 a l'accés a Coll de Pal, al Berguedà 	1
"🚗Es manté el trànsit molt intens: 
➡️C-16 (Eix del Llobregat) Berga - Cercs -&gt; Túnel del Cadí 
➡️C-14 a Organyà 
"	1
"🚗Ara hi ha cues: 
➡️C-16 Eix del Llobregat: Cal Rosal – Cercs / La Nou de Berguedà -&gt; Túnel del Cadí 
➡️C-14 Bassella - Oliana / Organyà -&gt; La Seu d’Urgell 
➡️C-17 Les Llosses - Ripoll -&gt; nord
"	1
"✔️🚆Restablerta circulació R1 @rodalies entre #Blanes i #Maçanet
Estava interrompuda per la caiguda d'un arbre a la catenària "	1
"🚗Cues també: 
➡️AP-7 Vilanova del Vallès - peatge de La Roca -&gt; Girona 
➡️C-17 Les Llosses - Ripoll -&gt; nord 
"	1
@taxisigualada @RadioIgualada @transit Gràcies, bon dia! 🙂	1
"🚗Comencen les retencions a destinacions d'aquest pont: 
➡️A-2 Martorell-Abrera -&gt; Lleida  
➡️C-55 Castellbell i el Vilar-S. Vicenç de Castellet -&gt; nord 
➡️C-16 Cal Rosal - La Nou de Berguedà -&gt; Túnel del Cadí 
➡️C-14 a Oliana -&gt; La Seu
➡️N-145 a la duana -&gt; Andorra 
"	1
✔️C-14 reoberta a #PinellDeSolsonès, on hi ha hagut un accident. Encara retencions 	1
⚫️C-14 tallada a #PinellDeSolsonès PK 129 en tots 2 sentits, a causa d'una topada entre 3 vehicles. Precaució! 	1
❄️🌨️5 carreteres del Pirineu i el Prepirineu afectades per les nevades. Només tancat l'accés a Coll de Pal, al Berguedà 	1
⚠️🚆Interromput el pas de trens @Renfe @rodalies entre #Blanes i #Maçanet. Un arbre ha caigut a sobre de la catenària, i no hi ha subministrament elèctric. Es gestiona servei alternatiu per carretera. Afecta de moment l'R1 (Maresme) 	1
"⚠️Accident a l'accés a la Ronda de Dalt des de les autopistes C-58 i C-33 -&gt; Llobregat. Un vehicle ha bolcat, i ara treballen per a retirar-lo. Tallada la incorporació. Alternatives: 
➡️Avinguda Meridiana-Rio de Janeiro-Pg de Valldaura 
➡️Ronda Litoral: sortida 1 
 https://t.co/IyZqmRenGl"	1
ℹ️ Fins a les 18h , han sortit de l'àrea metropolitana de Barcelona 94.548 vehicles, un 18% dels 510.000 previstos #TotsSants #OperacióSortida https://t.co/jBmVVv3jqu	1
Atenció si circuleu per la #colladadetoses Força #neu a la carretera i cotxes poc equipats. Vingueu ben calçats! #toses #gi4016 @equipviari @transit https://t.co/wDsjKhkH86	1
🔴 Retencions a l'A-2 de Sant Feliu a Sant Joan Despí ➡️ BCN per #accident 1 carril tallat #precaució @transita2 https://t.co/AKfEKl4rGy	1
"🏃‍♀️🏃‍♂️ Demà, la #CursaAmistat2018 afectarà una gran quantitat de línies de #busbcn.
⚠🚌Planeja la teva ruta consultant els detalls a: 
👉  https://t.co/TaC4fgImG2
https://t.co/87ME9YftwT"	1
Circulació amb retencions (Retenció): B-23 | ESPLUGUES DE LLOBREGAT | Sentit Est cap a BARCELONA | Punt km. 0-2 | 16:17	1
15:50h 🚧Tallada la ctra. B500 #santfost amb motiu d'un ⚠️ accident de trànsit. Al lloc #PoliciaLocal i #Mossos @equipviari #ProteccióCivil @AJsantfost https://t.co/qcildHfmpd	1
@transit demana extremar la precaució durant tot el pont, atès que l'increment de la mortalitat [+21%] es registra, sobretot, en dies festius. https://t.co/d7pbf5cnOn	1
Circulació amb congestió (Retenció): B-20 | BARCELONA | Sentit Nord cap a NUS TRINITAT | Punt km. 15-4 | 15:22	1
Circulació amb retencions (Retenció): B-23 | PAPIOL | Sentit Oest cap a ENLLAÇ AP-7 | Punt km. 15-12 | 15:29	1
⚠️Pas alternatiu a la C-1413a a #SantQuirzeDelVallès PK 19, a causa d'esllavissades. Retencions en tots 2 sentits. Precaució! 	1
"⚠️2 carrils tallats a l'A-2 a #Cornellà PK 609 -&gt; BCN, per accident. Retencions: 
➡️A-2 Sant Feliu - Cornellà -&gt; BCN 
➡️B-23 Molins de Rei - Sant Feliu -&gt; enllaç A-2 
 https://t.co/AReeExn1VJ"	1
⚠️1 sol carril obert a l'Autopista del Maresme (C-32) a #CanetDeMar PK 114 -&gt; BCN, a causa d'un accident. Precaució!  (Foto @infoautopista) https://t.co/Rz75qITiPL	1
⚠ #ÚLTIMAHORA Es desconvoquen les marxes lentes dels transortistes previstes per aquesta tarda a les demarcacions de Tarragona i Lleida. https://t.co/QPF2jFt9UE	1
⚫️C-66 tallada a #LaPera (Baix Empordà) PK 19,5 en tots 2 sentits, a causa d'un accident  https://t.co/LGzJXvUBBR	1
✔️Es restableix el pas de trens R1 i RG1 @Renfe @rodalies entre Arenys de Mar i Pineda, afectats per una incidència en el subministrament elèctric  https://t.co/IGNfBc9A5t	1
⚫️🚆Interromput el pas de trens de @Renfe @rodalies entre #Arenys i #PinedaDeMar per una incidència al subministrament elèctric. Afecta la línia R1 (Maresme) i RG1 (Portbou - L'Hospitalet pel litoral)  https://t.co/csSF14O1de	1
⚠️Vehicle avariat a l'A-2 a #SantFeliuDeLlobregat PK 605 -&gt; BCN. Retencions intermitents des de #Castellbisbal per accident a Sant Vicenç dels Horts també -&gt; BCN. Precaució! 	1
⚠️Accident a l'A-2 a #SantVicençDelsHorts PK 601 -&gt; BCN. 1 carril tallat. Retencions des de #Castellbisbal, precaució!  https://t.co/sF9oxLKRIe	1
🚗🚛🌨️Encara llargues cues als principals accessos a BCN i les Rondes a causa de la pluja, el volum de trànsit i diverses incidències. Precaució!  https://t.co/I2RDbknsZR	1
✔️Tots els carrils oberts a la C-59 a #SantaPerpètuaDeMogoda -&gt; nord, on hi ha hagut una topada múltiple a primera hora del matí. Encara retencions a la C-59 i AP-7 &lt;-&gt; 	1
⚠️1 carril obert a l'A-2 a #Tàrrega -&gt; Lleida, a causa d'un accident que ha tallat la via durant uns minuts  https://t.co/khWDbKa3tp	1
⚠️El fum per l'incendi al Port és visible des de la Ronda Litoral a la Zona Portuària, però no afecta de moment el trànsit. Molta precaució  https://t.co/d9YusP4tuJ	1
⚠️Pas alternatiu a la C-31 (Costes del Garraf) al PK 174 (Nucli de Garraf, terme municipal de #Sitges) a causa d'un accident. Retencions en tots 2 sentits, precaució!  https://t.co/co8vadLG2h	1
⚠️El fum d'aquest incendi és visible des de la Ronda Litoral a la zona portuària, tot i que el vent bufa en direcció mar endins. Molta precaució!  https://t.co/GhGm99gZ7K	1
⚠️1 carril obert a la C-59 a #SantaPerpètuaDeMogoda al #CIMVallès -&gt; nord. Topada múltiple que tallava fins ara la calçada -&gt; Caldes 	1
⚫️C-59 tallada a #SantaPerpètuaDeMogoda, al costat del #CIMVallès -&gt; nord, a causa d'una topada múltiple. Retencions des de #LaLlagosta, i a l'AP-7 -&gt; Girona  https://t.co/lJKk3BtjeP	1
🙋‍♀️🌧️☔️Bon dia! Precaució amb la pluja que ja augmenta les retencions a l'àrea de Barcelona. Hi ha cua a la C-59 a #SantaPerpètuaDeMogoda #CIMVallès -&gt; nord, per possible incidència.  https://t.co/YJmqdpsrDd	1
🚙Encara queda cua de B-24 Cervelló a N-340 Vallirana i al Vendrell es neteja la via i es fa pas alternatiu . Aturats  sobretot sentit sud . 	1
⚠️🚗Encara retencions a la C-32 a Sant Boi sentit Castelldefels per l'accident de fa una estona . 	1
⚠️🚗Accident a la Ronda General Mitre a prop del carrer de les tres Torres . Cues 	1
✅Retirat el camió que hi havia avariat a l'AP-7 a Sant Cugat sentit nord 	1
✅Millora la circulació a les Costes de Garraf (C-31) a Sitges sentit sud (Tarragona) 	1
"També :
⚠️🚚Cua compacta a l’A-2 al Bruc -&gt;Lleida per un camió avariat
 i al cinturó del litoral a Sant Joan Despí , a banda i banda.  "	1
"🚙Encara CUES: 
B-30 a Barberà sentit sud i a Cerdanyola -&gt;nord 
AP-7 de Sant Cugat a Barberà -&gt;nord 
A-2 a Cornellà, a banda i banda 
C-58 entre Terrassa i  Sant Quirze &lt;-&gt;  
C-59 de Palau-Solità i Plegamans a Caldes de Montbui sentit nord "	1
⚠️🚗Accident a Roger de Llúria amb Aragó . Turisme encastat  en una cafeteria . Cues. Foto: J. Soler.  https://t.co/boRNH4aIuD	1
🔴🚙Cua compacta a l’A-2 al Bruc -&gt;Lleida  	1
🚙AP-7 de Santa Perpètua  a Barberà i de Rubí al Papiol-&gt;sud i del Papiol a Sant Cugat (avariat) i a Barberà -&gt;nord 	1
⚠️🔴Embús a les Costes de Garraf (C-31) a Sitges sentit sud (Tarragona) 	1
⚠️🚗Cua a la N-240 a Montblanc -&gt;Valls per un accident  	1
🔴Encara aturats a la N-340 a Vallirana &lt;-&gt; i a Vilafranca -&gt;sud i al Vendrell on s’hi repara la via 	1
"AP-7 a Mollet (accident) i de Santa Perpètua  a Barberà i de Rubí al Papiol -&gt;sud i a Sant Cugat -&gt;nord 
B-23 de Sant Feliu de LL a la Diagonal i de Molins de Rei al Papiol -&gt;Girona 
Túnel de Vallvidrera -&gt;BCN 
C-32 a Sant Boi  en tots dos sentits "	1
"🚙Aturats :
C-58 a Sant Quirze i a Montcada -&gt;BCN i sort. de Ripollet -&gt;Terrassa 
C-17 a Parets del Vallès , a banda i banda . Afecta la sortida de l’AP-7 
C-14 a la Conca de Barberà 
C-1413antiga d’entrada a la població de Sabadell 
C-65 a Salt "	1
"🚙Retencions:
AP-7 de Santa Perpètua a Barberà i de Rubí al Papiol -&gt;sud i a Sant Cugat -&gt;nord 
B-30 a Barberà sentit sud i a Cerdanyola -&gt;nord 
B-23 de Sant Joan Despí a la Diagonal i de Molins de Rei al Papiol -&gt;Girona "	1
"🚙ATURATS:
Ronda de dalt de Cornellà a Valldaura -&gt;Besòs 
Ronda litoral de Zona Franca a Ciutat Vella -&gt;Besòs  "	1
"🚙A BCN CUES LLARGUES:
Diagonal : de la B-23 a plaça Reina Maria Cristina 
Ronda general Mitre : de plaça Reina Maria Cristina a Lesseps  "	1
També  cua a la B-23 de Sant Joan Despí a la Diagonal 	1
"🚙CUES:
AP-7 de Santa Perpètua a Barberà -&gt;sud 
B-30 a Barberà sentit sud i a Cerdanyola -&gt;nord 
C-58 a Sant Quirze -&gt;BCN 
C-17 a Parets del Vallès  "	1
"🚧Pas alternatiu a la N-340 al Vendrell per poder reparar la via .
Retencions a Vallirana -&gt;BCN  "	1
Encara :Embús a la Ronda de dalt d’Esplugues al Nus de la Trinitat .Han obert els dos carrils que hi havia tallats . Afecta la B-23 d’Esplugues a la Diagonal . 	1
"🔴⚠️🚗Via a Evitar:
Embús a la Ronda de dalt d’Esplugues al Nus de la Trinitat  per un accident que talla dos carrils . Afecta la B-23 d’Esplugues a la Diagonal . "	1
